DATE,DFII30
2020-11-06,-0.24
2020-11-09,-0.15
2020-11-10,-0.17
2020-11-11,.
2020-11-12,-0.24
2020-11-13,-0.24
2020-11-16,-0.22
2020-11-17,-0.25
2020-11-18,-0.24
2020-11-19,-0.27
2020-11-20,-0.31
2020-11-23,-0.30
2020-11-24,-0.29
2020-11-25,-0.29
2020-11-26,.
2020-11-27,-0.33
2020-11-30,-0.35
2020-12-01,-0.30
2020-12-02,-0.29
2020-12-03,-0.32
2020-12-04,-0.28
2020-12-07,-0.30
2020-12-08,-0.32
2020-12-09,-0.32
2020-12-10,-0.35
2020-12-11,-0.34
2020-12-14,-0.34
2020-12-15,-0.35
2020-12-16,-0.33
2020-12-17,-0.33
2020-12-18,-0.32
2020-12-21,-0.32
2020-12-22,-0.33
2020-12-23,-0.32
2020-12-24,-0.35
2020-12-25,.
2020-12-28,-0.35
2020-12-29,-0.34
2020-12-30,-0.35
2020-12-31,-0.37
2021-01-01,.
2021-01-04,-0.39
2021-01-05,-0.36
2021-01-06,-0.30
2021-01-07,-0.28
2021-01-08,-0.21
2021-01-11,-0.20
2021-01-12,-0.22
2021-01-13,-0.28
2021-01-14,-0.24
2021-01-15,-0.26
2021-01-18,.
2021-01-19,-0.29
2021-01-20,-0.30
2021-01-21,-0.30
2021-01-22,-0.30
2021-01-25,-0.32
2021-01-26,-0.29
2021-01-27,-0.28
2021-01-28,-0.31
2021-01-29,-0.27
2021-02-01,-0.27
2021-02-02,-0.27
2021-02-03,-0.25
2021-02-04,-0.24
2021-02-05,-0.20
2021-02-08,-0.22
2021-02-09,-0.22
2021-02-10,-0.24
2021-02-11,-0.20
2021-02-12,-0.16
2021-02-15,.
2021-02-16,-0.11
2021-02-17,-0.11
2021-02-18,-0.04
2021-02-19,0.03
2021-02-22,0.06
2021-02-23,0.08
2021-02-24,0.11
2021-02-25,0.22
2021-02-26,0.06
2021-03-01,0.12
2021-03-02,0.08
2021-03-03,0.10
2021-03-04,0.15
2021-03-05,0.12
2021-03-08,0.15
2021-03-09,0.10
2021-03-10,0.05
2021-03-11,0.08
2021-03-12,0.21
2021-03-15,0.16
2021-03-16,0.14
2021-03-17,0.17
2021-03-18,0.21
2021-03-19,0.18
2021-03-22,0.08
2021-03-23,0.05
2021-03-24,0.03
2021-03-25,0.05
2021-03-26,0.06
2021-03-29,0.10
2021-03-30,0.09
2021-03-31,0.11
2021-04-01,0.07
2021-04-02,0.07
2021-04-05,0.10
2021-04-06,0.10
2021-04-07,0.12
2021-04-08,0.10
2021-04-09,0.14
2021-04-12,0.13
2021-04-13,0.09
2021-04-14,0.10
2021-04-15,0.01
2021-04-16,0.01
2021-04-19,0.05
2021-04-20,0.04
2021-04-21,0.02
2021-04-22,0.00
2021-04-23,0.00
2021-04-26,-0.02
2021-04-27,-0.01
2021-04-28,-0.02
2021-04-29,0.01
2021-04-30,0.02
2021-05-03,0.02
2021-05-04,0.00
2021-05-05,-0.05
2021-05-06,-0.03
2021-05-07,-0.03
2021-05-10,-0.03
2021-05-11,0.00
2021-05-12,0.04
2021-05-13,0.03
2021-05-14,-0.02
2021-05-17,-0.02
2021-05-18,0.00
2021-05-19,0.04
2021-05-20,0.04
2021-05-21,0.03
2021-05-24,0.00
2021-05-25,-0.05
2021-05-26,-0.03
2021-05-27,-0.02
2021-05-28,-0.06
2021-05-31,.
2021-06-01,-0.05
2021-06-02,-0.05
2021-06-03,-0.03
2021-06-04,-0.08
2021-06-07,-0.06
2021-06-08,-0.09
2021-06-09,-0.11
2021-06-10,-0.16
2021-06-11,-0.14
2021-06-14,-0.15
2021-06-15,-0.15
2021-06-16,-0.11
2021-06-17,-0.15
2021-06-18,-0.21
2021-06-21,-0.12
2021-06-22,-0.17
2021-06-23,-0.16
2021-06-24,-0.16
2021-06-25,-0.13
2021-06-28,-0.19
2021-06-29,-0.17
2021-06-30,-0.20
2021-07-01,-0.21
2021-07-02,-0.22
2021-07-05,.
2021-07-06,-0.26
2021-07-07,-0.28
2021-07-08,-0.25
2021-07-09,-0.23
2021-07-12,-0.25
2021-07-13,-0.23
2021-07-14,-0.25
2021-07-15,-0.29
2021-07-16,-0.29
2021-07-19,-0.34
2021-07-20,-0.29
2021-07-21,-0.26
2021-07-22,-0.29
2021-07-23,-0.31
2021-07-26,-0.36
2021-07-27,-0.36
2021-07-28,-0.36
2021-07-29,-0.36
2021-07-30,-0.35
2021-08-02,-0.36
2021-08-03,-0.37
2021-08-04,-0.37
2021-08-05,-0.34
2021-08-06,-0.30
2021-08-09,-0.28
2021-08-10,-0.28
2021-08-11,-0.28
2021-08-12,-0.26
2021-08-13,-0.30
2021-08-16,-0.31
2021-08-17,-0.27
2021-08-18,-0.29
2021-08-19,-0.30
2021-08-20,-0.30
2021-08-23,-0.31
2021-08-24,-0.29
2021-08-25,-0.26
2021-08-26,-0.28
2021-08-27,-0.35
2021-08-30,-0.34
2021-08-31,-0.30
2021-09-01,-0.31
2021-09-02,-0.31
2021-09-03,-0.28
2021-09-06,.
2021-09-07,-0.25
2021-09-08,-0.29
2021-09-09,-0.36
2021-09-10,-0.34
2021-09-13,-0.34
2021-09-14,-0.37
2021-09-15,-0.36
2021-09-16,-0.34
2021-09-17,-0.32
2021-09-20,-0.34
2021-09-21,-0.33
2021-09-22,-0.34
2021-09-23,-0.30
2021-09-24,-0.24
2021-09-27,-0.25
2021-09-28,-0.20
2021-09-29,-0.18
2021-09-30,-0.19
2021-10-01,-0.23
2021-10-04,-0.23
2021-10-05,-0.23
2021-10-06,-0.24
2021-10-07,-0.20
2021-10-08,-0.21
2021-10-11,.
2021-10-12,-0.24
2021-10-13,-0.32
2021-10-14,-0.34
2021-10-15,-0.33
2021-10-18,-0.34
2021-10-19,-0.27
2021-10-20,-0.26
2021-10-21,-0.31
2021-10-22,-0.32
2021-10-25,-0.32
2021-10-26,-0.37
2021-10-27,-0.46
2021-10-28,-0.36
2021-10-29,-0.30
2021-11-01,-0.27
2021-11-02,-0.32
2021-11-03,-0.30
2021-11-04,-0.38
2021-11-05,-0.45
2021-11-08,-0.50
2021-11-09,-0.57
2021-11-10,-0.52
2021-11-11,.
2021-11-12,-0.51
2021-11-15,-0.48
2021-11-16,-0.42
2021-11-17,-0.43
2021-11-18,-0.47
2021-11-19,-0.52
2021-11-22,-0.41
2021-11-23,-0.36
2021-11-24,-0.39
2021-11-25,.
2021-11-26,-0.48
2021-11-29,-0.44
2021-11-30,-0.51
2021-12-01,-0.50
2021-12-02,-0.56
2021-12-03,-0.59
2021-12-06,-0.50
2021-12-07,-0.47
2021-12-08,-0.43
2021-12-09,-0.41
2021-12-10,-0.36
2021-12-13,-0.40
2021-12-14,-0.37
2021-12-15,-0.35
2021-12-16,-0.34
2021-12-17,-0.37
2021-12-20,-0.36
2021-12-21,-0.38
2021-12-22,-0.43
2021-12-23,-0.38
2021-12-24,.
2021-12-27,-0.42
2021-12-28,-0.40
2021-12-29,-0.38
2021-12-30,-0.43
2021-12-31,-0.44
2022-01-03,-0.36
2022-01-04,-0.27
2022-01-05,-0.20
2022-01-06,-0.15
2022-01-07,-0.16
2022-01-10,-0.15
2022-01-11,-0.22
2022-01-12,-0.17
2022-01-13,-0.17
2022-01-14,-0.10
2022-01-17,.
2022-01-18,-0.06
2022-01-19,-0.05
2022-01-20,-0.05
2022-01-21,-0.12
2022-01-24,-0.12
2022-01-25,-0.09
2022-01-26,-0.03
2022-01-27,-0.11
2022-01-28,-0.14
2022-01-31,-0.12
2022-02-01,-0.08
2022-02-02,-0.07
2022-02-03,-0.01
2022-02-04,0.06
2022-02-07,0.05
2022-02-08,0.05
2022-02-09,0.05
2022-02-10,0.11
2022-02-11,0.09
2022-02-14,0.13
2022-02-15,0.18
2022-02-16,0.17
2022-02-17,0.19
2022-02-18,0.12
2022-02-21,.
2022-02-22,0.11
2022-02-23,0.12
2022-02-24,0.10
2022-02-25,0.09
2022-02-28,-0.11
2022-03-01,-0.16
2022-03-02,-0.14
2022-03-03,-0.11
2022-03-04,-0.17
2022-03-07,-0.23
2022-03-08,-0.30
2022-03-09,-0.20
2022-03-10,-0.14
2022-03-11,-0.22
2022-03-14,-0.13
2022-03-15,-0.03
2022-03-16,-0.02
2022-03-17,-0.08
2022-03-18,-0.09
2022-03-21,0.01
2022-03-22,0.04
2022-03-23,-0.06
2022-03-24,-0.02
2022-03-25,0.06
2022-03-28,0.02
2022-03-29,0.05
2022-03-30,0.00
2022-03-31,-0.03
2022-04-01,0.00
2022-04-04,0.02
2022-04-05,0.09
2022-04-06,0.15
2022-04-07,0.21
2022-04-08,0.23
2022-04-11,0.27
2022-04-12,0.28
2022-04-13,0.30
2022-04-14,0.34
2022-04-15,.
2022-04-18,0.33
2022-04-19,0.38
2022-04-20,0.28
2022-04-21,0.25
2022-04-22,0.30
2022-04-25,0.30
2022-04-26,0.33
2022-04-27,0.36
2022-04-28,0.29
2022-04-29,0.40
2022-05-02,0.56
2022-05-03,0.48
2022-05-04,0.44
2022-05-05,0.55
2022-05-06,0.63
2022-05-09,0.66
2022-05-10,0.67
2022-05-11,0.51
2022-05-12,0.57
2022-05-13,0.57
2022-05-16,0.59
2022-05-17,0.65
2022-05-18,0.54
2022-05-19,0.63
2022-05-20,0.64
2022-05-23,0.68
2022-05-24,0.62
2022-05-25,0.64
2022-05-26,0.61
2022-05-27,0.59
2022-05-30,.
2022-05-31,0.67
2022-06-01,0.67
2022-06-02,0.62
2022-06-03,0.55
2022-06-06,0.62
2022-06-07,0.58
2022-06-08,0.63
2022-06-09,0.62
2022-06-10,0.67
2022-06-13,0.90
2022-06-14,1.01
2022-06-15,0.86
2022-06-16,0.86
2022-06-17,0.85
2022-06-20,.
2022-06-21,0.90
2022-06-22,0.80
2022-06-23,0.81
2022-06-24,0.81
2022-06-27,0.87
2022-06-28,0.91
2022-06-29,0.96
2022-06-30,0.91
2022-07-01,0.88
2022-07-04,.
2022-07-05,0.84
2022-07-06,0.94
2022-07-07,0.98
2022-07-08,1.02
2022-07-11,0.99
2022-07-12,0.94
2022-07-13,0.88
2022-07-14,0.89
2022-07-15,0.86
2022-07-18,0.90
2022-07-19,0.92
2022-07-20,0.95
2022-07-21,0.93
2022-07-22,0.82
2022-07-25,0.85
2022-07-26,0.85
2022-07-27,0.80
2022-07-28,0.75
2022-07-29,0.71
2022-08-01,0.67
2022-08-02,0.79
2022-08-03,0.72
2022-08-04,0.74
2022-08-05,0.81
2022-08-08,0.74
2022-08-09,0.78
2022-08-10,0.82
2022-08-11,0.90
2022-08-12,0.89
2022-08-15,0.89
2022-08-16,0.89
2022-08-17,0.92
2022-08-18,0.86
2022-08-19,0.87
2022-08-22,0.88
2022-08-23,0.89
2022-08-24,0.92
2022-08-25,0.87
2022-08-26,0.85
2022-08-29,0.90
2022-08-30,0.87
2022-08-31,0.96
2022-09-01,1.07
2022-09-02,1.01
2022-09-05,.
2022-09-06,1.11
2022-09-07,1.07
2022-09-08,1.11
2022-09-09,1.14
2022-09-12,1.21
2022-09-13,1.19
2022-09-14,1.15
2022-09-15,1.18
2022-09-16,1.25
2022-09-19,1.28
2022-09-20,1.30
2022-09-21,1.24
2022-09-22,1.38
2022-09-23,1.38
2022-09-26,1.52
2022-09-27,1.66
2022-09-28,1.50
2022-09-29,1.64
2022-09-30,1.74
2022-10-03,1.58
2022-10-04,1.58
2022-10-05,1.68
2022-10-06,1.73
2022-10-07,1.73
2022-10-10,.
2022-10-11,1.73
2022-10-12,1.71
2022-10-13,1.72
2022-10-14,1.66
2022-10-17,1.65
2022-10-18,1.71
2022-10-19,1.79
2022-10-20,1.77
2022-10-21,1.82
2022-10-24,1.78
2022-10-25,1.74
2022-10-26,1.75
2022-10-27,1.67
2022-10-28,1.65
2022-10-31,1.69
2022-11-01,1.64
2022-11-02,1.63
2022-11-03,1.76
2022-11-04,1.77
2022-11-07,1.77
2022-11-08,1.74
2022-11-09,1.80
2022-11-10,1.58
2022-11-11,.
2022-11-14,1.65
2022-11-15,1.57
2022-11-16,1.51
2022-11-17,1.57
2022-11-18,1.63
2022-11-21,1.57
2022-11-22,1.51
2022-11-23,1.43
2022-11-24,.
2022-11-25,1.42
2022-11-28,1.47
2022-11-29,1.54
2022-11-30,1.46
2022-12-01,1.29
2022-12-02,1.15
2022-12-05,1.23
2022-12-06,1.21
2022-12-07,1.16
2022-12-08,1.15
2022-12-09,1.28
2022-12-12,1.29
2022-12-13,1.30
2022-12-14,1.35
2022-12-15,1.33
2022-12-16,1.40
2022-12-19,1.47
2022-12-20,1.50
2022-12-21,1.48
2022-12-22,1.53
2022-12-23,1.60
2022-12-26,.
2022-12-27,1.65
2022-12-28,1.67
2022-12-29,1.63
2022-12-30,1.67
2023-01-02,.
2023-01-03,1.61
2023-01-04,1.57
2023-01-05,1.55
2023-01-06,1.43
2023-01-09,1.41
2023-01-10,1.47
2023-01-11,1.41
2023-01-12,1.33
2023-01-13,1.44
2023-01-16,.
2023-01-17,1.47
2023-01-18,1.40
2023-01-19,1.34
2023-01-20,1.42
2023-01-23,1.41
2023-01-24,1.34
2023-01-25,1.33
2023-01-26,1.30
2023-01-27,1.33
2023-01-30,1.39
2023-01-31,1.43
2023-02-01,1.33
2023-02-02,1.38
2023-02-03,1.46
2023-02-06,1.47
2023-02-07,1.47
2023-02-08,1.41
2023-02-09,1.47
2023-02-10,1.53
2023-02-13,1.51
2023-02-14,1.53
2023-02-15,1.54
2023-02-16,1.57
2023-02-17,1.54
2023-02-20,.
2023-02-21,1.60
2023-02-22,1.58
2023-02-23,1.55
2023-02-24,1.61
2023-02-27,1.61
2023-02-28,1.57
2023-03-01,1.60
2023-03-02,1.63
2023-03-03,1.49
2023-03-06,1.54
2023-03-07,1.56
2023-03-08,1.62
2023-03-09,1.63
2023-03-10,1.45
2023-03-13,1.46
2023-03-14,1.49
2023-03-15,1.44
2023-03-16,1.48
2023-03-17,1.50
2023-03-20,1.51
2023-03-21,1.52
2023-03-22,1.43
2023-03-23,1.43
2023-03-24,1.45
2023-03-27,1.55
2023-03-28,1.50
2023-03-29,1.50
2023-03-30,1.48
2023-03-31,1.44
2023-04-03,1.43
2023-04-04,1.41
2023-04-05,1.39
2023-04-06,1.35
2023-04-07,1.40
2023-04-10,1.40
2023-04-11,1.38
2023-04-12,1.38
2023-04-13,1.40
2023-04-14,1.46
2023-04-17,1.52
2023-04-18,1.53
2023-04-19,1.53
2023-04-20,1.50
2023-04-21,1.53
2023-04-24,1.48
2023-04-25,1.43
2023-04-26,1.46
2023-04-27,1.50
2023-04-28,1.51
2023-05-01,1.61
2023-05-02,1.53
2023-05-03,1.50
2023-05-04,1.52
2023-05-05,1.53
2023-05-08,1.59
2023-05-09,1.61
2023-05-10,1.58
2023-05-11,1.53
2023-05-12,1.54
2023-05-15,1.59
2023-05-16,1.61
2023-05-17,1.60
2023-05-18,1.63
2023-05-19,1.66
2023-05-22,1.68
2023-05-23,1.65
2023-05-24,1.67
2023-05-25,1.68
2023-05-26,1.64
2023-05-29,.
2023-05-30,1.62
2023-05-31,1.63
2023-06-01,1.62
2023-06-02,1.66
2023-06-05,1.66
2023-06-06,1.64
2023-06-07,1.70
2023-06-08,1.65
2023-06-09,1.65
2023-06-12,1.65
2023-06-13,1.70
2023-06-14,1.67
2023-06-15,1.63
2023-06-16,1.63
2023-06-19,.
2023-06-20,1.59
2023-06-21,1.57
2023-06-22,1.63
2023-06-23,1.59
2023-06-26,1.62
2023-06-27,1.63
2023-06-28,1.61
2023-06-29,1.69
2023-06-30,1.62
2023-07-03,1.62
2023-07-04,.
2023-07-05,1.70
2023-07-06,1.75
2023-07-07,1.78
2023-07-10,1.79
2023-07-11,1.80
2023-07-12,1.67
2023-07-13,1.64
2023-07-14,1.67
2023-07-17,1.67
2023-07-18,1.66
2023-07-19,1.61
2023-07-20,1.62
2023-07-21,1.62
2023-07-24,1.61
2023-07-25,1.65
2023-07-26,1.65
2023-07-27,1.76
2023-07-28,1.72
2023-07-31,1.76
2023-08-01,1.81
2023-08-02,1.85
2023-08-03,1.99
2023-08-04,1.87
2023-08-07,1.89
2023-08-08,1.88
2023-08-09,1.87
2023-08-10,1.96
2023-08-11,1.96
2023-08-14,1.98
2023-08-15,2.02
2023-08-16,2.06
2023-08-17,2.09
2023-08-18,2.08
2023-08-21,2.12
2023-08-22,2.07
2023-08-23,1.93
2023-08-24,1.98
2023-08-25,1.99
2023-08-28,1.99
2023-08-29,1.95
2023-08-30,1.97
2023-08-31,1.96
2023-09-01,2.04
2023-09-04,.
2023-09-05,2.10
2023-09-06,2.08
2023-09-07,2.06
2023-09-08,2.01
2023-09-11,2.04
2023-09-12,2.02
2023-09-13,2.00
2023-09-14,2.06
2023-09-15,2.08
2023-09-18,2.05
2023-09-19,2.09
2023-09-20,2.07
2023-09-21,2.20
2023-09-22,2.16
2023-09-25,2.28
2023-09-26,2.33
2023-09-27,2.35
2023-09-28,2.29
2023-09-29,2.33
2023-10-02,2.41
2023-10-03,2.51
2023-10-04,2.44
2023-10-05,2.49
2023-10-06,2.54
2023-10-09,.
2023-10-10,2.43
2023-10-11,2.34
2023-10-12,2.46
2023-10-13,2.38
2023-10-16,2.44
2023-10-17,2.47
2023-10-18,2.50
2023-10-19,2.55
2023-10-20,2.55
2023-10-23,2.52
2023-10-24,2.47
2023-10-25,2.56
2023-10-26,2.50
2023-10-27,2.51
2023-10-30,2.52
2023-10-31,2.51
2023-11-01,2.44
2023-11-02,2.32
2023-11-03,2.28
2023-11-06,2.32
2023-11-07,2.25
2023-11-08,2.18
2023-11-09,2.31
2023-11-10,2.30
2023-11-13,2.34
2023-11-14,2.24
2023-11-15,2.28
2023-11-16,2.26
2023-11-17,2.24
2023-11-20,2.20
2023-11-21,2.24
2023-11-22,2.20
2023-11-23,.
2023-11-24,2.25
2023-11-27,2.22
2023-11-28,2.21
2023-11-29,2.15
2023-11-30,2.22
2023-12-01,2.12
2023-12-04,2.17
2023-12-05,2.08
2023-12-06,2.02
2023-12-07,2.02
2023-12-08,2.05
2023-12-11,2.09
2023-12-12,2.09
2023-12-13,2.00
2023-12-14,1.82
2023-12-15,1.82
2023-12-18,1.87
2023-12-19,1.87
2023-12-20,1.83
2023-12-21,1.86
2023-12-22,1.89
2023-12-25,.
2023-12-26,1.89
2023-12-27,1.82
2023-12-28,1.84
2023-12-29,1.90
2024-01-01,.
2024-01-02,1.91
2024-01-03,1.89
2024-01-04,1.96
2024-01-05,2.02
2024-01-08,1.98
2024-01-09,1.99
2024-01-10,2.01
2024-01-11,1.98
2024-01-12,1.95
2024-01-15,.
2024-01-16,2.03
2024-01-17,2.03
2024-01-18,2.05
2024-01-19,2.03
2024-01-22,2.03
2024-01-23,2.09
2024-01-24,2.11
2024-01-25,2.10
2024-01-26,2.10
2024-01-29,2.03
2024-01-30,2.04
2024-01-31,1.99
2024-02-01,1.91
2024-02-02,2.02
2024-02-05,2.09
2024-02-06,2.06
2024-02-07,2.08
2024-02-08,2.12
2024-02-09,2.13
2024-02-12,2.15
2024-02-13,2.20
2024-02-14,2.18
2024-02-15,2.16
2024-02-16,2.17
2024-02-19,.
2024-02-20,2.17
2024-02-21,2.18
2024-02-22,2.19
2024-02-23,2.11
2024-02-26,2.13
2024-02-27,2.16
2024-02-28,2.12
2024-02-29,2.09
